r,phi,x,y,z
2.1,0.0,2.1,0.0,0.8944271909999163
2.17979797979798,0.0,2.17979797979798,0.0,1.1993264102753007
2.2595959595959596,0.0,2.2595959595959596,0.0,1.4410994680339302
2.3393939393939394,0.0,2.3393939393939394,0.0,1.647771681742199
2.419191919191919,0.0,2.419191919191919,0.0,1.83126605208947
2.4989898989898993,0.0,2.4989898989898993,0.0,1.9979787766438348
2.578787878787879,0.0,2.578787878787879,0.0,2.151813893045361
2.658585858585859,0.0,2.658585858585859,0.0,2.295362034339435
2.7383838383838386,0.0,2.7383838383838386,0.0,2.4304466065048023
2.8181818181818183,0.0,2.8181818181818183,0.0,2.5584085962673253
2.897979797979798,0.0,2.897979797979798,0.0,2.6802683417595308
2.977777777777778,0.0,2.977777777777778,0.0,2.7968235951204043
3.0575757575757576,0.0,3.0575757575757576,0.0,2.9087120965482405
3.1373737373737374,0.0,3.1373737373737374,0.0,3.0164531985412766
3.217171717171717,0.0,3.217171717171717,0.0,3.1204765240863033
3.296969696969697,0.0,3.296969696969697,0.0,3.221142278099118
3.3767676767676766,0.0,3.3767676767676766,0.0,3.3187560040083413
3.4565656565656564,0.0,3.4565656565656564,0.0,3.4135795365752433
3.536363636363636,0.0,3.536363636363636,0.0,3.5058392848088586
3.6161616161616164,0.0,3.6161616161616164,0.0,3.595732599803958
3.695959595959596,0.0,3.695959595959596,0.0,3.683432742385392
3.775757575757576,0.0,3.775757575757576,0.0,3.769092809425181
3.8555555555555556,0.0,3.8555555555555556,0.0,3.852848873813304
3.9353535353535354,0.0,3.9353535353535354,0.0,3.934822522405335
4.015151515151516,0.0,4.015151515151516,0.0,4.015122927285306
4.094949494949495,0.0,4.094949494949495,0.0,4.093848551130826
4.174747474747475,0.0,4.174747474747475,0.0,4.171088562711154
4.254545454545455,0.0,4.254545454545455,0.0,4.246924020554599
4.334343434343435,0.0,4.334343434343435,0.0,4.321428869569355
4.414141414141414,0.0,4.414141414141414,0.0,4.394670785523225
4.493939393939394,0.0,4.493939393939394,0.0,4.46671189484112
4.573737373737374,0.0,4.573737373737374,0.0,4.537609391507712
4.653535353535354,0.0,4.653535353535354,0.0,4.607416068501175
4.733333333333333,0.0,4.733333333333333,0.0,4.676180777800049
4.813131313131313,0.0,4.813131313131313,0.0,4.743948830357523
4.892929292929293,0.0,4.892929292929293,0.0,4.810762345349679
4.972727272727273,0.0,4.972727272727273,0.0,4.8766605563457235
5.052525252525252,0.0,5.052525252525252,0.0,4.941680080721739
5.132323232323232,0.0,5.132323232323232,0.0,5.005855157571567
5.212121212121213,0.0,5.212121212121213,0.0,5.069217858503391
5.291919191919192,0.0,5.291919191919192,0.0,5.131798275005901
5.371717171717172,0.0,5.371717171717172,0.0,5.1936246854906045
5.451515151515151,0.0,5.451515151515151,0.0,5.254723704641492
5.531313131313132,0.0,5.531313131313132,0.0,5.315120417309946
5.611111111111111,0.0,5.611111111111111,0.0,5.374838498865699
5.690909090909091,0.0,5.690909090909091,0.0,5.433900323641641
5.77070707070707,0.0,5.77070707070707,0.0,5.492327062881139
5.850505050505051,0.0,5.850505050505051,0.0,5.550138773403815
5.93030303030303,0.0,5.93030303030303,0.0,5.607354478042586
6.01010101010101,0.0,6.01010101010101,0.0,5.663992238766583
6.08989898989899,0.0,6.08989898989899,0.0,5.7200692232867185
6.16969696969697,0.0,6.16969696969697,0.0,5.7756017658401415
6.249494949494949,0.0,6.249494949494949,0.0,5.830605422763539
6.329292929292929,0.0,6.329292929292929,0.0,5.885095023391163
6.40909090909091,0.0,6.40909090909091,0.0,5.939084716749482
6.488888888888889,0.0,6.488888888888889,0.0,5.992588014465128
6.56868686868687,0.0,6.56868686868687,0.0,6.045617830254817
6.648484848484848,0.0,6.648484848484848,0.0,6.098186516324241
6.728282828282829,0.0,6.728282828282829,0.0,6.150305896966641
6.808080808080808,0.0,6.808080808080808,0.0,6.201987299619894
6.887878787878789,0.0,6.887878787878789,0.0,6.253241583613279
6.9676767676767675,0.0,6.9676767676767675,0.0,6.304079166810498
7.047474747474748,0.0,7.047474747474748,0.0,6.354510050334171
7.127272727272727,0.0,7.127272727272727,0.0,6.4045438415379605
7.207070707070708,0.0,7.207070707070708,0.0,6.454189775375811
7.2868686868686865,0.0,7.2868686868686865,0.0,6.503456734302881
7.366666666666667,0.0,7.366666666666667,0.0,6.552353266829662
7.446464646464646,0.0,7.446464646464646,0.0,6.600887604839001
7.526262626262627,0.0,7.526262626262627,0.0,6.649067679765413
7.6060606060606055,0.0,7.6060606060606055,0.0,6.696901137726676
7.685858585858586,0.0,7.685858585858586,0.0,6.744395353689513
7.765656565656565,0.0,7.765656565656565,0.0,6.791557444743622
7.845454545454546,0.0,7.845454545454546,0.0,6.838394282551743
7.9252525252525245,0.0,7.9252525252525245,0.0,6.884912505037388
8.005050505050505,0.0,8.005050505050505,0.0,6.931118527366563
8.084848484848486,0.0,8.084848484848486,0.0,6.977018552274882
8.164646464646465,0.0,8.164646464646465,0.0,7.022618579787152
8.244444444444445,0.0,8.244444444444445,0.0,7.067924416372572
8.324242424242424,0.0,8.324242424242424,0.0,7.112941683575045
8.404040404040405,0.0,8.404040404040405,0.0,7.1576758261549704
8.483838383838384,0.0,8.483838383838384,0.0,7.2021321197758565
8.563636363636364,0.0,8.563636363636364,0.0,7.246315678266502
8.643434343434343,0.0,8.643434343434343,0.0,7.290231460487022
8.723232323232324,0.0,8.723232323232324,0.0,7.333884276824839
8.803030303030303,0.0,8.803030303030303,0.0,7.377278795344692
8.882828282828283,0.0,8.882828282828283,0.0,7.420419547614964
8.962626262626262,0.0,8.962626262626262,0.0,7.463310934230872
9.042424242424243,0.0,9.042424242424243,0.0,7.505957230053602
9.122222222222222,0.0,9.122222222222222,0.0,7.548362589183019
9.202020202020202,0.0,9.202020202020202,0.0,7.59053104968036
9.281818181818181,0.0,9.281818181818181,0.0,7.632466538056059
9.361616161616162,0.0,9.361616161616162,0.0,7.67417287353688
9.44141414141414,0.0,9.44141414141414,0.0,7.715653772125414
9.521212121212121,0.0,9.521212121212121,0.0,7.7569128504642215
9.6010101010101,0.0,9.6010101010101,0.0,7.797953629515939
9.680808080808081,0.0,9.680808080808081,0.0,7.838779538069982
9.76060606060606,0.0,9.76060606060606,0.0,7.879393916085709
